"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Willie Sudhoff","- - -","303","924","1","77","57","13","6.4%","",".044","",".178",".238",".222",".229","41","-2.2","-73.8","20.9","-1.9","1012670"
"Wilcy Moore","- - -","261","225","1","9","4","0","2.7%","43.1%",".020",".187",".102",".128",".122",".121","-36","0.0","-41.4","14.0","-1.9","1009132"
"Frank Johnson","Giants","196","481","4","47","43","2","7.7%","12.5%",".046",".236",".211",".277",".257",".246","53","-0.3","-24.2","-8.4","-1.9","1006459"
"Jimmy Smith","- - -","370","1237","12","119","108","18","5.1%","15.0%",".087",".253",".219",".265",".306",".275","61","-2.0","-59.6","0.9","-1.9","1012162"
"Tucker Ashford","- - -","222","569","6","42","55","5","8.3%","13.2%",".100",".241",".218",".282",".318",".270","68","-0.1","-21.9","-15.4","-1.9","1000337"
"Ace Parker","Athletics","94","228","2","20","25","1","6.1%","14.5%",".063",".203",".179",".231",".242",".225","19","-0.8","-27.5","-0.6","-1.9","1009996"
"Leo Dixon","- - -","159","495","1","40","41","4","9.1%","13.9%",".066",".244",".206",".291",".272",".274","43","-1.8","-41.1","3.8","-1.9","1003332"
"Mack Wheat","- - -","225","642","4","34","35","7","3.0%","15.9%",".075",".240",".204",".241",".279",".250","44","0.2","-37.6","1.0","-1.9","1013826"
"Chris Nelson","- - -","282","901","16","96","100","9","6.1%","22.5%",".124",".330",".265",".311",".388",".304","79","-5.4","-27.3","-18.1","-1.9","8175"
"Mark Clark","- - -","139","280","1","7","9","0","2.9%","37.9%",".025",".096",".058",".088",".083",".082","-65","0.0","-57.7","29.4","-1.9","1002296"
"Jack Hoey","Americans","146","531","0","39","35","13","2.8%","",".040","",".232",".256",".272",".258","65","-0.4","-19.5","-14.1","-1.9","1005897"
"Mike Richardt","- - -","185","618","4","46","60","11","4.4%","10.0%",".050",".245",".226",".259",".276",".244","48","1.0","-36.7","-1.0","-1.9","1010916"
"Buck Gladman","- - -","101","398","2","35","15","5","3.8%","19.0%",".074",".163",".147",".186",".221",".192","51","0.2","-29.5","-6.0","-1.9","1004754"
"Doug McWeeny","- - -","206","338","0","18","6","1","9.2%","37.3%",".010",".185",".104",".194",".115",".166","-15","0.2","-51.4","20.8","-1.9","1008698"
"Donnie Sadler","- - -","418","861","6","125","46","25","6.4%","18.9%",".082",".246",".202",".262",".284",".247","38","3.6","-65.2","15.6","-1.9","627"
"Scott Perry","- - -","131","325","1","7","10","1","3.7%","27.1%",".030",".188",".135",".172",".166",".167","-7","-0.3","-41.4","13.2","-1.9","1010216"
"Jason Schmidt","- - -","324","712","7","29","21","0","3.1%","39.6%",".050",".181",".106",".140",".156",".136","-31","0.0","-120.4","77.3","-1.9","1131"
"Gene Moriarity","- - -","72","276","3","26","23","7","1.4%","23.0%",".074",".172",".152",".174",".227",".191","31","0.4","-26.6","-4.7","-1.9","1009189"
"Bob Ramazzotti","- - -","346","912","4","86","53","15","4.9%","11.7%",".061",".259",".230",".271",".291",".264","48","2.8","-55.7","7.4","-1.9","1010664"
"Bill Selby","- - -","198","473","11","45","48","1","7.0%","15.0%",".137",".241",".223",".279",".360",".277","61","0.6","-23.3","-12.6","-1.9","405"
"Jack Neagle","- - -","100","384","0","37","6","","3.6%","10.5%",".035",".184",".176",".208",".211",".197","54","0.0","-26.6","-9.0","-1.9","1009472"
"Andujar Cedeno","- - -","616","2238","47","221","223","26","6.4%","21.8%",".129",".287",".236",".292",".366",".288","75","-2.1","-70.9","-24.3","-1.9","1002099"
"Brandon Webb","Diamondbacks","199","457","0","12","29","0","2.2%","39.8%",".023",".210",".113",".134",".136",".123","-44","-0.1","-84.3","49.7","-1.9","1692"
"Trent Durrington","- - -","140","261","2","35","9","14","6.5%","20.7%",".072",".246",".196",".250",".268",".235","31","2.0","-21.7","-7.4","-1.9","1805"
"Charlie Morton","- - -","217","306","0","4","6","0","1.0%","44.8%",".015",".155",".076",".086",".091",".079","-62","-0.5","-58.8","31.1","-1.9","4676"
